image,cve_id,package,ecosystem,rule_layer,agent_layer
vulnerables/web-dvwa,CVE-2019-11039,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-11040,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-11043,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-11043,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-11043,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11043,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-11043,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-11043,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-13224,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-18218,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-json,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-9020,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-9021,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-json,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2019-9023,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2019-9641,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2019-9641,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2019-9641,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9641,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2019-9641,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2019-9641,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2020-7059,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-cli,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-json,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-pgsql,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-readline,debian,os,app
vulnerables/web-dvwa,CVE-2020-7060,php7.0-xml,debian,os,app
vulnerables/web-dvwa,CVE-2022-31625,libapache2-mod-php7.0,debian,os,app
vulnerables/web-dvwa,CVE-2022-31625,php7.0-gd,debian,os,app
vulnerables/web-dvwa,CVE-2022-31625,php7.0-mysql,debian,os,app
vulnerables/web-dvwa,CVE-2022-31625,php7.0-opcache,debian,os,app
vulnerables/web-dvwa,CVE-2022-31625,php7.0-pgsql,debian,os,app
